Period,Time,Call Type,Committing Player,Disadvantaged Player,Review Decision,Video,Comment,game_id
Q4,01:59.5,Foul: Offensive,Jeremy Lamb,LaMelo Ball,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2119,Lamb (IND) and Ball (CHA) come together at the same spot off-ball and marginal body contact occurs.,0022100003
Q4,01:56.5,Foul: Personal,LaMelo Ball,Malcolm Brogdon,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2120,Ball (CHA) brushes Brogdon's (IND) left arm as Brogdon is passing the ball and marginal contact occurs.,0022100003
Q4,01:52.4,Foul: Loose Ball,Mason Plumlee,Domantas Sabonis,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2121,Plumlee (CHA) and Sabonis (IND) engage and disengage with one another during rebounding.,0022100003
Q4,01:51.1,Foul: Personal,Miles Bridges,Domantas Sabonis,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2122,Bridges (CHA) delivers contact to Sabonis' (IND) back following the rebound and dislodges him from his position.,0022100003
Q4,01:24.3,Foul: Shooting,Malcolm Brogdon,Gordon Hayward,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2123,Brogdon (IND) cleanly dislodges Hayward (CHA) of the ball as simultaneous marginal contact occurs to Hayward's front. Craig's (IND) forearm is rested on Hayward's back and marginal contact occurs simultaneously with the dislodge. ,0022100003
Q4,01:23.0,Foul: Loose Ball,Miles Bridges,Torrey Craig,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2124,Bridges (CHA) swipes forward and marginal contact occurs with Craig's (IND) right wrist as they each attempt to retrieve the loose ball.,0022100003
Q4,01:21.9,Stoppage: Out-of-Bounds,Torrey Craig,Hornets,IC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2125,"Craig's (IND) foot remains in bounds as he makes contact with the ball. After batting the ball away, he steps out of bounds and re-establishes himself in bounds before making contact with the ball again.",0022100003
Q4,01:21.0,Foul: Offensive,Miles Bridges,Jeremy Lamb,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2126,Bridges (CHA) and Lamb (IND) engage and disengage with one another off-ball.,0022100003
Q4,01:20.5,Foul: Offensive,LaMelo Ball,Torrey Craig,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2127,Ball (CHA) establishes himself in a screening position in Craig's (IND) path and absorbs the contact. ,0022100003
Q4,01:16.9,Foul: Personal,Malcolm Brogdon,Gordon Hayward,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2128,Brogdon (IND) wraps Hayward's (CHA) upper half and affects his FOM off-ball.,0022100003
Q4,01:06.5,Foul: Loose Ball,LaMelo Ball,Chris Duarte,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2129,Ball (CHA) and Duarte (IND) make incidental contact with one another during rebounding.,0022100003
Q4,01:00.6,Foul: Shooting,Jeremy Lamb,Kelly Oubre Jr.,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2130,"Lamb (IND) cleanly dislodges Oubre Jr. (CHA) of the ball prior to incidental arm contact occurring. Following the dislodge, Lamb and Oubre Jr. make incidental foot-to-foot contact with one another.",0022100003
Q4,00:58.7,Stoppage: Out-of-Bounds,Pacers,Hornets,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2133,The ball is last touched by the Pacers before going out of bounds.  The Hornets retain possession.,0022100003
Q4,00:58.7,Foul: Offensive,Mason Plumlee,Torrey Craig,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2131,Plumlee (CHA) establishes himself in a screening position in Craig's (IND) path and absorbs the contact.,0022100003
Q4,00:58.7,Foul: Offensive,Gordon Hayward,Torrey Craig,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2132,Hayward (CHA) and Craig (IND) engage and disengage with one another during the inbound.,0022100003
Q4,00:57.6,Foul: Personal,Torrey Craig,Gordon Hayward,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2134,Craig's (IND) left arm is extended toward Hayward (CHA) and marginal contact occurs with Hayward's arm/front during the drive.,0022100003
Q4,00:56.9,Foul: Personal,Domantas Sabonis,Gordon Hayward,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2135,Sabonis (IND) jumps toward Hayward (CHA) and marginal body contact occurs as Hayward passes the ball at the end of the drive.,0022100003
Q4,00:53.5,Turnover: Traveling,Miles Bridges,Pacers,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2136,Bridges (CHA) gathers the ball on his right foot and takes two steps before attempting the shot.,0022100003
Q4,00:52.4,Foul: Shooting,Domantas Sabonis,Miles Bridges,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2137,Sabonis (IND) jumps toward Bridges (CHA) and marginal body contact occurs during Bridges' driving shot attempt.,0022100003
Q4,00:37.7,Foul: Loose Ball,Domantas Sabonis,Mason Plumlee,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2138,Sabonis' (IND) hands are rested on Plumlee's (CHA) back and marginal contact occurs as Sabonis releases away to pursue the rebound.,0022100003
Q4,00:37.0,Foul: Loose Ball,LaMelo Ball,Torrey Craig,INC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2139,"Ball (CHA) grabs and pulls Craig's (IND) jersey, affecting Craig's ability to retrieve the rebound and subsequently causing the contact between Ball and Sabonis (IND) to occur.",0022100003
Q4,00:31.3,Foul: Personal,Jeremy Lamb,Gordon Hayward,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2140,Lamb (IND) swipes forward and marginal contact occurs with Hayward's (CHA) side/arm.,0022100003
Q4,00:23.1,Foul: Offensive,LaMelo Ball,Chris Duarte,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2141,"Ball (CHA) and Duarte (IND) come together at the same spot along the perimeter and, as the defensive switch takes place during the pick, marginal body contact occurs.",0022100003
Q4,00:17.0,Foul: Shooting,Torrey Craig,Gordon Hayward,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2142,Craig (IND) jumps alongside Hayward's (CHA) path and marginal contact occurs with Hayward's side during his upward shooting motion.,0022100003
Q4,00:16.7,Foul: Loose Ball,Domantas Sabonis,Gordon Hayward,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2143,Sabonis (IND) and Hayward (CHA) make incidental arm contact with one another during rebounding.,0022100003
Q4,00:16.2,Foul: Loose Ball,Torrey Craig,Mason Plumlee,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2144,Craig (IND) and Plumlee (CHA) make incidental arm contact with one another during rebounding.,0022100003
Q4,00:13.7,Foul: Loose Ball,Domantas Sabonis,Mason Plumlee,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2145,Sabonis (IND) makes clean contact with the ball and dislodges it away from Plumlee (CHA) before incidental contact occurs to Plumlee's lower body.,0022100003
Q4,00:12.3,Foul: Personal,Miles Bridges,Torrey Craig,IC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2146,Bridges (CHA) brushes Craig's (IND) left forearm and marginal contact occurs following the rebounding sequence.,0022100003
Q4,00:11.6,Foul: Offensive,P.J. Washington,Justin Holiday,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2147,Washington (CHA) establishes himself in a screening position in Holiday's (IND) path and absorbs the contact.,0022100003
Q4,00:07.3,Foul: Shooting,Chris Duarte,Gordon Hayward,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2148,Duarte's (IND) arm is extended outward into Hayward's (CHA) path and marginal contact occurs to Hayward's front after his gather.,0022100003
Q4,00:07.2,Foul: Loose Ball,P.J. Washington,Chris Duarte,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2149,"Washington (CHA) extends his arms forward and marginal contact occurs with Duarte's (IND) arms and head during rebounding. Contact to an opponent?s head/face can be deemed marginal when the result of a natural basketball move, provided the contact is not disproportionate or uncontrolled.",0022100003
Q4,00:07.0,Foul: Loose Ball,Gordon Hayward,Chris Duarte,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2150,Hayward (CHA) cleanly dislodges Duarte (IND) of the ball during rebounding.,0022100003
Q4,00:06.5,Foul: Personal,Malcolm Brogdon,Gordon Hayward,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2151,Brogdon (IND) makes clean contact with the ball and dislodges it away from Hayward (CHA).,0022100003
Q4,00:04.6,Foul: Shooting,Torrey Craig,P.J. Washington,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2152,Craig (IND) initiates contact across Washington's (CHA) left arm during his upward shooting motion.,0022100003
Q4,00:04.6,Foul: Personal,P.J. Washington,Domantas Sabonis,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2153,Washington (CHA) moves alongside Sabonis' (IND) path and absorbs the marginal body contact that occurs during the drive.,0022100003
Q4,00:00.8,Foul: Shooting,P.J. Washington,Domantas Sabonis,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100003&eventNum=2154,Washington (CHA) establishes himself in a legal guarding position and marginal contact occurs with Sabonis (IND) as he fades away during the shot attempt.,0022100003
Q4,01:59.9,Foul: Shooting,DeMar DeRozan,Saddiq Bey,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2140,DeRozan (CHI) maintains a legal guarding position and absorbs the body contact that occurs during Bey's (DET) driving shot attempt.,0022100004
Q4,01:48.6,Foul: Offensive,Nikola Vucevic,Frank Jackson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2141,"Vucevic (CHI) establishes himself in a screening position in Jackson's (DET) path and gives one step of distance before absorbing the contact, some of which occurs to Jackson's foot.",0022100004
Q4,01:46.0,Foul: Shooting,Cory Joseph,Lonzo Ball,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2142,Joseph (DET) makes clean contact with the ball and dislodges it away from Ball (CHI) during his upward shooting motion.,0022100004
Q4,01:45.0,Turnover: Lost Ball Out of Bounds,Lonzo Ball,Cory Joseph,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2143,Ball (CHI) touches the ball last before it goes out of bounds.,0022100004
Q4,01:34.0,Foul: Offensive,Jerami Grant,Alex Caruso,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2144,Grant (DET) brings his off-arm toward Caruso's (CHI) front and marginal contact occurs as Grant releases away at the top of the perimeter.,0022100004
Q4,01:31.0,Foul: Offensive,Jerami Grant,Alex Caruso,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2145,Grant (DET) and Caruso (CHI) make incidental foot-to-foot contact with one another at the end of the drive.,0022100004
Q4,01:15.3,Foul: Offensive,Nikola Vucevic,Saddiq Bey,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2146,Vucevic (CHI) and Bey (DET) engage and disengage with one another as they move toward the lane.,0022100004
Q4,01:10.0,Foul: Loose Ball,Saddiq Bey,Nikola Vucevic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2147,Bey (DET) and Vucevic (CHI) engage and disengage with one another during rebounding.,0022100004
Q4,00:55.9,Foul: Offensive,Isaiah Stewart,Lonzo Ball,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2148,Stewart (DET) firms up in his screening position in Ball's (CHI) path and absorbs the contact.,0022100004
Q4,00:53.4,Foul: Shooting,Lonzo Ball,Jerami Grant,INC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2149,"Ball (CHI) does not get up to ball height and initiates contact with Grant's (DET) right forearm that affects his jump shot attempt. On his follow through Grant turns and extends his right leg, which connects with Ball. The contact is marginal.",0022100004
Q4,00:49.5,Foul: Personal,Saddiq Bey,DeMar DeRozan,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2150,Bey (DET) swipes down and initiates contact with DeRozan's (CHI) head.,0022100004
Q4,00:43.5,Foul: Personal,Frank Jackson,Alex Caruso,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2151,Jackson (DET) rests his hands on Caruso's (CHI) hips and marginal contact occurs as Caruso moves toward the perimeter.,0022100004
Q4,00:40.9,Foul: Personal,Jerami Grant,Zach LaVine,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2152,Grant (DET) is late to the spot and does not establish a legal guarding position prior to the contact with LaVine (CHI) taking place.,0022100004
Q4,00:40.9,Violation: Delay of Game,Pistons,Bulls,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2152,Correctly called delay of game warning against DET.,0022100004
Q4,00:32.3,Foul: Shooting,Patrick Williams,Jerami Grant,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2153,Williams (CHI) swipes down and makes clean contact with the ball during Grant's (DET) upward shooting motion.,0022100004
Q4,00:24.4,Foul: Personal,Lonzo Ball,Cory Joseph,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2154,Ball (CHI) and Joseph (DET) engage and disengage with one another during rebounding.,0022100004
Q4,00:24.4,Foul: Personal,Jerami Grant,Zach LaVine,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2155,Grant (DET) commits a take foul on LaVine (CHI).,0022100004
Q4,00:23.4,Foul: Offensive,Cory Joseph,Lonzo Ball,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2156,Joseph (DET) brings his off-arm toward Ball's (CHI) side as he spins toward the baseline and marginal contact occurs.,0022100004
Q4,00:22.0,Foul: Offensive,Kelly Olynyk,DeMar DeRozan,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2157,Olynyk (DET) establishes himself in a screening position in DeRozan's (CHI) path and absorbs the contact.,0022100004
Q4,00:18.1,Foul: Personal,Frank Jackson,Zach LaVine,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2158,Jackson (DET) initiates contact across LaVine's (CHI) left arm after he secures the rebound.,0022100004
Q4,00:10.3,Foul: Personal,Kelly Olynyk,Nikola Vucevic,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2159,Olynyk (DET) brings his hands toward Vucevic's (CHI) front and marginal contact occurs as Vucevic is passing.,0022100004
Q4,00:03.1,Foul: Shooting,Bulls,Jerami Grant,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2160,Vucevic (CHI) legally contests Grant's (DET) jump shot attempt.,0022100004
Q4,00:01.1,Foul: Loose Ball,Lonzo Ball,Cory Joseph,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100004&eventNum=2161,Ball (CHI) makes incidental arm contact with Joseph (DET) during rebounding.,0022100004
Q4,01:45,Foul: Shooting,Obi Toppin,Jayson Tatum,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0022100005&eventNum=2217,Toppin (NY) makes clean contact with the ball during Tatum's (BOS) driving shot attempt.,0022100005
Q4,01:41.8,Foul: Personal,Jayson Tatum,Kemba Walker,CC,http://official.nba.com/last-two-minute-report/?gameNo=0022100005&eventNum=2218,Tatum (BOS) dislodges Walker (NYK) from his position as he secures the loose ball.,0022100005
