Period,Time,Call Type,Committing Player,Disadvantaged Player,Review Decision,Video,Comment,game_id
Q4,01:54.3,Foul: Offensive,Dejounte Murray,Ja Morant,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2234,Murray (SAS) places his arm against Morant's (MEM) side during his drive and marginal contact occurs.,0052000131
Q4,01:49.5,Turnover: Lost Ball Out of Bounds,Dejounte Murray,Ja Morant,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2235,Murray (SAS) is the last person to touch the ball before it goes out of bounds. ,0052000131
Q4,01:34,Foul: Personal,Dejounte Murray,Ja Morant,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2252,Murray (SAS) makes clean contact with the ball and dislodges it from Morant (SAS) before incidental contact occurs. ,0052000131
Q4,01:31,Foul: Offensive,Kyle Anderson,Dejounte Murray,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2253,Anderson (MEM) hands off the ball firming up in Murray's (SAS) path and marginal contact occurs as they disengage.,0052000131
Q4,01:30.5,Foul: Personal,Rudy Gay,Jonas Valanciunas,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2236,Gay (SAS) briefly grasps Valanciunas (MEM) during the pick and disengages as they roll towards the basket. ,0052000131
Q4,01:27.5,Foul: Loose Ball,Rudy Gay,Jonas Valanciunas,INC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2237,Gay (SAS) clamps Valanciunas' (MEM) arm and the contact affects his ability to retrieve the rebound.,0052000131
Q4,01:26.5,Foul: Shooting,Dejounte Murray,Desmond Bane,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2238,Murray (SAS) brushes Bane's (MEM) arm during his shot attempt at the basket. ,0052000131
Q4,01:22.8,Foul: Offensive,Jakob Poeltl,Dillon Brooks,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2239,Poeltl (SAS) establishes himself in a screening position in Brooks' (MEM) path and gives him a step to avoid contact. ,0052000131
Q4,01:19.4,Foul: Shooting,Jonas Valanciunas,DeMar DeRozan,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2240,Valanciunas (MEM) maintains legal guarding position as body contact occurs during DeRozan's (SAS) driving shot attempt. ,0052000131
Q4,01:00.0,Foul: Loose Ball,Kyle Anderson,Jakob Poeltl,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2241,Anderson (MEM) makes marginal contact to Poeltl's (SAS) side and he is able to move through the contact to retrieve the loose ball. ,0052000131
Q4,00:46.7,Foul: Shooting,Dillon Brooks,Rudy Gay,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2242,Brooks (MEM) makes contact to Gay's (SAS) arm and the contact affects his driving shot attempt. ,0052000131
Q4,00:36.8,Foul: Personal,Dejounte Murray,Kyle Anderson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2254,Murray (SAS) briefly places his arm around Anderson's (MEM) waist before correcting. ,0052000131
Q4,00:30.9,Foul: Offensive,Kyle Anderson,Dejounte Murray,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2243,Anderson (MEM) turns and delivers contact to Murray's (SAS) body after handing the ball off to Morant (MEM).,0052000131
Q4,00:30.9,Foul: Offensive,DeMar DeRozan,Dillon Brooks,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2244,DeRozan (SAS) places his arm against Brooks' (MEM) body as he releases and steps into his jump stop.,0052000131
Q4,00:29.0,Foul: Offensive,Jakob Poeltl,Dillon Brooks,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2245,Poeltl (SAS) establishes himself in a screening position in Brooks' (MEM) path and gives him a step to avoid contact. ,0052000131
Q4,00:26.6,Foul: Shooting,Jonas Valanciunas,DeMar DeRozan,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2246,"Valanciunas (MEM) makes incidental ""high-five"" contact with DeRozan (SAS) after the release of his driving shot attempt.",0052000131
Q4,00:24.8,Foul: Loose Ball,Dillon Brooks,Jakob Poeltl,INC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2247,Brooks (MEM) pushes Poeltl (SAS) in the back while he is airborne and affects his ability to get to the rebound.,0052000131
Q4,00:23.1,Foul: Loose Ball,DeMar DeRozan,Dillon Brooks,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2248,DeRozan (SAS) makes contact to Brooks' (MEM) side and contact affects his ability to retrieve the loose ball. ,0052000131
Q4,00:13.3,Foul: Personal Take,Jakob Poeltl,Desmond Bane,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2249,Poeltl (SAS) commits a take foul on Bane (MEM). ,0052000131
Q4,00:13.1,Foul: Personal,Desmond Bane,Patty Mills,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2255,Bane (MEM) places two resting hands against Mills' (SAS) waist and he is able to move through the marginal contact. ,0052000131
Q4,00:13.1,Foul: Offensive,Jakob Poeltl,Kyle Anderson,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2255,Marginal contact occurs between Poeltl (SAS) and Anderson (MEM) before Poeltl re-establishes himself in a screening position in Anderson's path and he does deliver contact.,0052000131
Q4,00:10.8,Foul: Shooting,Kyle Anderson,Rudy Gay,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2250,Anderson (MEM) legally contest Gay's (SAS) jump shot attempt. ,0052000131
Q4,00:08.1,Foul: Personal Take,Dejounte Murray,Ja Morant,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2251,Murray (SAS) commits a take foul on Morant (MEM). ,0052000131
Q4,00:08.0,Foul: Personal,Ja Morant,Rudy Gay,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000131&eventNum=2256,Morant (MEM) makes contact with the ball and dislodges it from Gay (SAS) before incidental contact occurs.,0052000131
Q4,01:54.5,Foul: Offensive,Draymond Green,Wesley Matthews,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052000121&eventNum=2173,Green (GSW) establishes himself in a wide picking stance and extends his knee into Matthews? (LAL) path. ,0052000121
Q4,01:26.0,Foul: Offensive,Draymond Green,Alex Caruso,CNC,http://official.nba.com/last-two-minute-report/?gameNo=0052000121&eventNum=2174,Green (GSW) legally firms up in Caruso's (LAL) path. ,0052000121
Q4,01:23.4,Foul: Personal,Anthony Davis,Stephen Curry,CC,http://official.nba.com/last-two-minute-report/?gameNo=0052000121&eventNum=2175,Davis (LAL) makes contact with Curry's (GSW) arm prior to his gather.,0052000121
